sampleID	subject	time
5654_36656_0	36656	6.157575757575756
5654_36656_1	36656	7.369696969696968
5654_36656_2	36656	8.58181818181818
5654_36656_3	36656	10.096969696969696
5654_36656_4	36656	11.309090909090909
5654_36656_5	36656	12.52121212121212
5654_36656_6	36656	13.733333333333333
5654_36656_7	36656	14.945454545454544
5654_36656_8	36656	16.15757575757576
5654_36656_9	36656	17.369696969696975
5654_36656_10	36656	18.58181818181819
5654_36656_11	36656	20.096969696969705
5654_36656_12	36656	21.30909090909092
5654_36656_13	36656	22.521212121212127
5654_36656_14	36656	23.73333333333334
5654_416304_15	416304	8.58181818181818
5654_416304_16	416304	10.096969696969696
5654_416304_17	416304	11.309090909090909
5654_416304_18	416304	12.52121212121212
5654_416304_19	416304	13.733333333333333
5654_416304_20	416304	14.945454545454544
5654_416304_21	416304	16.15757575757576
5654_416304_22	416304	17.369696969696975
5654_416304_23	416304	18.58181818181819
5654_416304_24	416304	20.096969696969705
5654_416304_25	416304	21.30909090909092
5654_416304_26	416304	22.521212121212127
5654_416304_27	416304	23.73333333333334
5654_416304_28	416304	24.945454545454552
5654_416304_29	416304	26.157575757575763
5654_2369231_30	2369231	8.58181818181818
5654_2369231_31	2369231	10.096969696969696
5654_2369231_32	2369231	11.309090909090909
5654_2369231_33	2369231	12.52121212121212
5654_2369231_34	2369231	13.733333333333333
5654_2369231_35	2369231	14.945454545454544
5654_2369231_36	2369231	16.15757575757576
5654_2369231_37	2369231	17.369696969696975
5654_2369231_38	2369231	18.58181818181819
5654_2369231_39	2369231	20.096969696969705
5654_2369231_40	2369231	21.30909090909092
5654_2369231_41	2369231	22.521212121212127
5654_2369231_42	2369231	23.73333333333334
5654_2369231_43	2369231	24.945454545454552
5654_2369231_44	2369231	26.157575757575763
5654_8982779_45	8982779	10.096969696969696
5654_8982779_46	8982779	11.309090909090909
5654_8982779_47	8982779	12.52121212121212
5654_8982779_48	8982779	13.733333333333333
5654_8982779_49	8982779	14.945454545454544
5654_8982779_50	8982779	16.15757575757576
5654_8982779_51	8982779	17.369696969696975
5654_8982779_52	8982779	18.58181818181819
5654_8982779_53	8982779	20.096969696969705
5654_8982779_54	8982779	21.30909090909092
5654_8982779_55	8982779	22.521212121212127
5654_8982779_56	8982779	23.73333333333334
5654_8982779_57	8982779	24.945454545454552
5654_8982779_58	8982779	26.157575757575763
5654_8982779_59	8982779	27.36969696969697
5654_10488077_60	10488077	7.369696969696968
5654_10488077_61	10488077	8.58181818181818
5654_10488077_62	10488077	10.096969696969696
5654_10488077_63	10488077	11.309090909090909
5654_10488077_64	10488077	12.52121212121212
5654_10488077_65	10488077	13.733333333333333
5654_10488077_66	10488077	14.945454545454544
5654_10488077_67	10488077	16.15757575757576
5654_10488077_68	10488077	17.369696969696975
5654_10488077_69	10488077	18.58181818181819
5654_10488077_70	10488077	20.096969696969705
5654_10488077_71	10488077	21.30909090909092
5654_10488077_72	10488077	22.521212121212127
5654_10488077_73	10488077	23.73333333333334
5654_10488077_74	10488077	24.945454545454552
